"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31"
"Series Name","Employers, female (% of female employment) (modeled ILO estimate)","Employers, male (% of male employment) (modeled ILO estimate)","Employers, total (% of total employment) (modeled ILO estimate)","Employment in agriculture (% of total employment) (modeled ILO estimate)","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","Employment in agriculture, male (% of male employment) (modeled ILO estimate)","Employment in industry (% of total employment) (modeled ILO estimate)","Employment in industry, female (% of female employment) (modeled ILO estimate)","Employment in industry, male (% of male employment) (modeled ILO estimate)","Employment in services (% of total employment) (modeled ILO estimate)","Employment in services, female (% of female employment) (modeled ILO estimate)","Employment in services, male (% of male employment) (modeled ILO estimate)","Female share of employment in senior and middle management (%)","Law prohibits discrimination in employment based on gender (1=yes; 0=no)","Part time employment, female (% of total part time employment)","Part time employment, male (% of total male employment)","Part time employment, total (% of total employment)","Self-employed, female (% of female employment) (modeled ILO estimate)","Self-employed, male (% of male employment) (modeled ILO estimate)","Self-employed, total (% of total employment) (modeled ILO estimate)","There is legislation on sexual harassment in employment (1=yes; 0=no)","Unemployment, female (% of female labor force) (modeled ILO estimate)","Unemployment, female (% of female labor force) (national estimate)","Unemployment, male (% of male labor force) (modeled ILO estimate)","Unemployment, male (% of male labor force) (national estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Unemployment, total (% of total labor force) (national estimate)","Wage and salaried workers, female (% of female employment) (modeled ILO estimate)","Wage and salaried workers, male (% of male employment) (modeled ILO estimate)","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","Criminal penalties or civil remedies exist for sexual harassment in employment (1=yes; 0=no)"
"2007 [YR2007]"," 2.5"," 6.8"," 4.8"," 2.3"," 1.6"," 2.8","29.9","15.9","41.4","67.8","82.4","55.8","24.8"," 1.0","67.9","21.0","36.1"," 9.2","14.3","12.0"," 1.0"," 8.8"," 8.8"," 8.6"," 8.5"," 8.7"," 8.7","90.8","85.7","88.0"," 1.0"
"2008 [YR2008]"," 2.5"," 6.6"," 4.8"," 1.8"," 1.3"," 2.2","29.3","15.0","41.2","68.9","83.7","56.7","25.7"," 1.0","67.2","21.8","36.6"," 8.8","14.0","11.7"," 1.0"," 7.6"," 7.6"," 7.4"," 7.4"," 7.5"," 7.5","91.2","86.0","88.3"," 1.0"
"2009 [YR2009]"," 2.5"," 6.8"," 4.8"," 1.7"," 1.2"," 2.0","28.8","14.6","40.8","69.5","84.2","57.2","26.8"," 1.0","64.8","25.3","39.3"," 8.4","14.2","11.6"," 1.0"," 7.3"," 7.3"," 8.1"," 8.1"," 7.7"," 7.7","91.6","85.8","88.4"," 1.0"
"2010 [YR2010]"," 2.6"," 6.8"," 4.9"," 1.6"," 1.2"," 2.0","28.3","14.3","40.2","70.0","84.5","57.8","27.5"," 1.0","66.9","23.0","38.0"," 8.4","14.2","11.6"," 1.0"," 6.5"," 6.5"," 7.4"," 7.4"," 7.0"," 7.0","91.6","85.8","88.4"," 1.0"
"2011 [YR2011]"," 2.5"," 6.7"," 4.8"," 1.6"," 1.2"," 2.0","28.2","14.2","40.2","70.1","84.6","57.8","27.9"," 1.0","66.4","24.1","39.2"," 8.5","14.4","11.7"," 1.0"," 5.6"," 5.6"," 6.0"," 6.0"," 5.8"," 5.8","91.5","85.6","88.3"," 1.0"
"2012 [YR2012]"," 2.5"," 6.7"," 4.8"," 1.6"," 1.1"," 2.0","28.2","14.2","40.1","70.2","84.8","57.9","27.1"," 1.0","65.4","25.5","40.1"," 8.3","14.3","11.6"," 1.0"," 5.2"," 5.2"," 5.5"," 5.5"," 5.4"," 5.4","91.7","85.7","88.4"," 1.0"
"2013 [YR2013]"," 2.5"," 6.6"," 4.7"," 1.5"," 1.0"," 1.8","27.8","14.0","39.6","70.8","85.0","58.5","27.5"," 1.0","65.4","26.1","40.9"," 8.1","13.9","11.2"," 1.0"," 4.9"," 4.9"," 5.5"," 5.5"," 5.2"," 5.2","91.9","86.1","88.8"," 1.0"
"2014 [YR2014]"," 2.5"," 6.5"," 4.6"," 1.4"," 1.0"," 1.8","28.0","14.2","40.0","70.5","84.8","58.2","27.8"," 1.0","65.5","25.9","40.5"," 8.0","13.5","11.0"," 1.0"," 4.6"," 4.6"," 5.3"," 5.3"," 5.0"," 5.0","92.0","86.5","89.0"," 1.0"
"2015 [YR2015]"," 2.51"," 6.46"," 4.62"," 1.39"," 0.96"," 1.78","27.69","13.86","39.70","70.92","85.19","58.53","28.05"," 1.00","65.97","25.61","40.45"," 7.75","13.36","10.75"," 1.00"," 4.22"," 4.22"," 4.97"," 4.97"," 4.62"," 4.62","92.25","86.64","89.25"," 1.00"
"2016 [YR2016]"," 2.43"," 6.18"," 4.43"," 1.31"," 0.89"," 1.67","27.38","13.80","39.21","71.31","85.31","59.12","28.09"," 1.00","66.55","24.87","39.74"," 7.65","12.84","10.43"," 1.00"," 3.74"," 3.74"," 4.45"," 4.45"," 4.12"," 4.12","92.35","87.16","89.58"," 1.00"
"2017 [YR2017]"," 2.39"," 6.08"," 4.36"," 1.28"," 0.88"," 1.62","27.40","13.86","39.24","71.32","85.26","59.14","28.21"," 1.00","65.75","26.24","40.79"," 7.55","12.51","10.20"," 1.00"," 3.32"," 3.31"," 4.12"," 4.12"," 3.75"," 3.75","92.45","87.49","89.80"," 1.00"
"2018 [YR2018]"," 2.30"," 5.95"," 4.25"," 1.25"," 0.85"," 1.60","27.34","13.95","39.00","71.41","85.21","59.40","28.58"," 1.00","65.54","26.29","40.81"," 7.29","12.17"," 9.90"," 1.00"," 2.91"," 2.91"," 3.79"," 3.79"," 3.38"," 3.38","92.71","87.83","90.10"," 1.00"
"2019 [YR2019]"," 2.31"," 5.96"," 4.26"," 1.21"," 0.83"," 1.53","27.18","13.90","38.74","71.61","85.27","59.73","28.59"," 1.00","65.26","26.62","41.14"," 6.98","11.89"," 9.61"," 1.00"," 2.73"," 2.73"," 3.50"," 3.49"," 3.14"," 3.14","93.02","88.11","90.39"," 1.00"
"2020 [YR2020]","..","..","..","..","..","..","..","..","..","..","..","..","..","1","..","..","..","..","..","..","1","..","3.37","..","4.19","4.31","3.81","..","..","..","1"
